"feature_1","feature_2","feature_3","feature_4","feature_5","feature_6","feature_7","id","target"
"48.342402980483406","28.6164842897182","79.18437381577584","74.82668357427923","50.78474178357784","49.15992383052132","55.61543035040006","0","0"
"23.114270435949646","45.951633738781375","51.34155737472938","83.41967770017047","12.096686350848639","85.590939053529","34.57617920109888","1","0"
"72.33100586416208","40.57047056833294","81.68270145628966","80.468962865717","42.80218135918818","49.724213673641074","41.447207405517304","2","0"
"80.78020879057432","43.246619731075626","64.39330001099239","68.22384793811759","56.20945901945667","19.273255519923882","75.9358633940524","3","1"
"22.527625370044998","57.408673244539614","45.758716651027655","41.746340080459575","-8.249966869174369","50.12467617423805","53.9133003447797","4","0"
"38.06954112775272","71.53301194671899","94.44531869876042","70.46808074570397","49.26086734447571","23.483463010861012","62.57090884449519","5","0"
"73.20857649751395","59.26951235367578","54.466482616741615","25.851706261793776","45.68343496210096","28.193208326966737","75.49524354482938","6","0"
"39.01218132193029","69.50259635475646","74.77104596554433","89.94503715630186","-3.844209886465954","67.70944480981844","28.532037913617764","7","1"
"64.78701549021874","53.19496587098739","85.13468297854281","39.73053721472712","54.19269337378914","40.20399397572648","37.36440478144377","8","1"
"21.239026143275996","76.55199490342727","80.4589841312083","86.52259868828163","46.45247827449356","30.314438384730526","71.69710149298979","9","0"
"68.97588758037317","19.063425367680722","101.72140450976786","26.502945137195717","-1.9287400497580087","49.897888955422694","79.30415266755917","10","0"
"79.16727111485685","25.8039154733936","66.37955392553388","64.36420628779729","32.09075187739323","42.46974981936463","58.68278362135277","11","0"
"53.84278815346543","44.261586764196025","99.51904690901253","42.690649547565144","21.414523630968805","77.37802454727542","42.1183832053387","12","1"
"71.96955302786307","56.19288308809749","100.45688408208707","75.24857377775884","-5.951781565893491","77.46638292516782","49.01912538927099","13","1"
"60.915153037194955","65.3850227781989","60.87166613798456","90.44330347274739","-6.590384851351885","77.12983258530808","39.31059189518972","14","0"
"22.819603670359765","68.55674083677621","100.36783924435755","54.83391913785542","25.827177253484283","62.725507110330874","88.27260528262016","15","0"
"34.929253752579","37.66032114712093","80.15031330394558","61.51767689572323","9.412656668277744","50.598897959858114","82.9523370748102","16","0"
"55.15957237757828","56.86079205323132","104.26895808784062","71.80378118151707","-4.434005278550178","54.49022414662609","52.88880930623857","17","0"
"81.42571243399335","50.39893213550767","66.87529899981445","38.66381938679792","11.390330923621416","40.31088242392506","75.47475658397363","18","1"
