"feature_1","feature_2","feature_3","feature_4","feature_5","feature_6","feature_7","feature_8","id","target"
"60.451052746596964","48.029745581302414","35.158760556079244","68.85184117813544","54.63678316599783","54.46935527168268","43.43935690577288","62.70013030008395","0","0"
"57.96667443535472","55.417697072523254","39.65425379762668","64.39115347066735","41.428212226960824","52.044489207667155","51.103617816075214","45.05671235497506","1","1"
"52.82982747942952","36.485675976765805","48.791475129617865","52.65791304274115","43.92140841859438","48.38986721722005","59.83471979845904","49.35664027433734","2","1"
"62.039797474805376","51.81761718933336","40.20669711872829","54.87262179074212","61.57194348136112","51.882436673074636","42.61892928445286","43.987479041762654","3","1"
"40.97513477134374","42.0467749431899","42.50919165765218","66.74644400142509","53.35007913163297","64.82021847786855","45.98730299401914","44.12182147865142","4","1"
"60.89052316315371","49.11109793631709","55.289426706529355","51.17592537420391","57.404709491655076","46.260693879678264","44.72175096093312","55.58661137794726","5","1"
"56.03188531415718","58.395763663387626","43.308523649013985","53.72454350674451","55.20637441801248","60.0804517123267","49.916208664461415","52.40805578273423","6","1"
"56.829825018449085","34.798216309786326","37.183666227720174","64.98451308558695","45.44510034268755","48.585747051628864","46.11304619172967","64.79354091535338","7","0"
"49.78073131520956","55.59333616887922","50.00302894307508","60.402007866618945","58.138173155370445","57.31903464888616","44.53918366654162","52.06703765625068","8","0"
"48.556476840182164","46.486548246554975","47.71106965631821","70.95559070141621","55.13401883619583","51.67872664854564","45.69436151228803","45.20537898531702","9","0"
"36.50606016997045","58.62637816480971","35.7871991251797","50.01451244485228","42.611433132709685","69.58540977429314","53.98679126716642","66.29246867425351","10","1"
"53.27892686768","36.64664942127128","50.44518649308346","56.24168657226119","57.88393819762025","59.35975240271718","62.959405450989344","53.42968000704594","11","1"
"45.12380529925631","45.30245585367251","44.731083737273416","69.78534376009473","52.252585377879214","67.66066209541546","54.08700495296315","62.412105349530094","12","1"
"60.251200521291686","41.61554032968071","50.99885254029249","60.687706556197526","41.180354557540326","57.724363280049126","61.13474954248674","46.98491861494456","13","0"
"54.08354587551492","54.71344971822589","36.00348971091489","48.221554236203175","44.22193979430611","45.56646897415039","56.04629450861744","68.03211127843237","14","1"
"51.356391831256154","46.21997326800578","57.7266162960898","47.17104812730968","42.430310499533995","70.1418986494981","42.17556010123251","57.160071343245676","15","0"
"59.08744812460869","36.78930911644088","49.002011992164064","56.807374544289516","36.90834216129153","57.39049534930945","50.12570660799831","44.24259498194085","16","0"
"48.854817474895626","35.21261412637243","55.90757219864015","55.2798838847567","43.77369549104595","50.868645307238644","40.56414823047554","47.808437146131055","17","0"
"40.97990021779087","55.78774614533775","50.9172317253731","61.73816546315405","36.90628457528369","47.874019316381556","61.169921593397675","66.59072366218943","18","0"
"49.645021015968176","38.27009945147827","59.951130901027696","70.30881348578188","46.69641771207442","46.532144040474265","65.3398522767206","61.54302191974164","19","1"
"53.68314373135299","55.38583762993672","41.519221755904965","46.71231575090851","45.0677107032664","56.67091892906041","62.813127121226195","61.81354479095007","20","1"
"37.841866680257546","39.53728090925884","42.57078611263161","62.63631741842367","47.95780385861901","65.86897404461901","51.898004702895044","43.658993214398095","21","0"
