"feature_1","feature_2","feature_3","feature_4","feature_5","feature_6","feature_7","feature_8","feature_9","feature_10","feature_11","feature_12","feature_13","feature_14","feature_15","id","target"
"55.76663747172394","65.03237844111922","57.157691500860295","73.26246666104147","68.27268470559622","58.99099370285824","72.78037610943343","54.842444947743","79.7980535700352","82.16184359344953","35.53744859986138","70.10136885117794","43.265006855910826","49.818576741490574","55.30655649145181","0","1"
"79.47965655851944","37.40831836345726","59.140818736452154","65.81572894400391","66.15301585225703","84.20431270315183","51.346779354465525","45.475021565945084","69.2004696508141","76.64334340067735","74.44393549772936","73.11647244563447","69.47286200695386","31.892046483674026","59.22994722064137","1","0"
"76.04348286309173","71.18269831622843","58.840175164536504","59.14849644305199","72.12280934040317","74.78833827312437","46.27274639312178","62.72990603445908","58.88082824123976","64.40018075213058","36.31698678397418","82.22696424063122","54.5976121869447","79.9253088958119","46.348230003802904","2","1"
"67.00136074791837","50.485352692746076","45.213249038891874","48.966570242588595","56.02826965689516","38.88566972386445","70.45373205075323","67.07585341304133","90.74963268480947","61.825906941094765","76.94737302560566","42.20082839313304","78.3917114441011","42.86786231296023","48.6329904614465","3","1"
"65.7754891228461","67.71811760971862","61.49368230827433","62.77176177594755","67.63335954763541","65.30858066922107","56.76148352129184","58.5231930727614","65.90072930553677","63.58201663448332","68.02416225407815","78.27952680363744","58.267540249937475","53.47574004276842","56.98421740922645","4","0"
"72.6958546781365","71.02371205286448","61.01135894437826","46.12702901795575","52.62582011673001","66.291493586815","51.03535532694244","86.82712413757415","82.92327636526683","67.5170274805664","65.83797288010084","44.334355755679184","84.52091582418154","56.21232459873204","48.438894799449265","5","0"
"75.27758903781043","76.71842891565858","41.835033384643296","87.63085542661331","79.085993629146","78.6095931036102","42.14935511879206","41.589635609066164","82.90947661080112","58.03819724466293","74.7329632008505","66.67811574273242","44.739439596464535","41.0693739341383","43.427213329707236","6","0"
"42.15476865238209","50.49658172201764","46.687472635177755","44.949955842733765","50.95149158616897","62.992186416394695","58.89309452083833","64.71333218308322","82.15829022307393","53.12570706601032","72.88802636218087","43.36329073290645","49.974205690665265","63.552180933894164","58.44782791399813","7","0"
"84.70862747143954","61.72509416660402","70.06677847334045","54.90876838354701","71.66597327440064","43.940967535466335","51.76276338731462","49.32663480541784","87.47729502618525","80.0270863877656","82.78586807574307","73.23585829237899","89.80175543050849","67.3153453468216","51.25991251589674","8","1"
"41.39649116840401","39.8910947552063","76.04340219897081","63.14206884773858","48.91774280970936","48.304984785156954","41.03132325559023","67.06509107647781","47.96105757326565","69.33579892716003","75.10793907349766","64.59002813523662","45.78580117712465","72.27065597157596","61.344481300850966","9","1"
"69.5855607075833","50.15371322969335","70.69674967456749","73.43271394065198","46.451967917965966","59.6199354121652","49.267807829911845","84.8872936116896","53.28913707297663","73.88815173248847","45.70257412861017","80.74063840863343","83.13370915273406","79.10982008217078","47.598702727994805","10","0"
"49.86883891528172","78.06679887524609","84.19196250655051","67.76085231167544","87.90184766477344","37.11126058893289","79.33056164724533","47.72311922011095","79.22168964239209","79.13874174762948","79.94520878231661","68.6001595251239","63.83154793375703","34.33782809312336","77.116329853358","11","0"
"37.54775101015173","44.632879839551656","42.85248055930915","46.04754031289321","48.73813643197091","35.33848970378329","39.044767198532774","40.11153176173627","65.70942442579397","41.35125455579168","49.82630815924731","86.62269812310961","60.40461754952063","54.85231484706701","75.8002220145548","12","1"
"75.33962115697763","37.47452591240387","69.20428696207509","77.02467332862518","58.357599368557686","68.46383894735627","54.2974623081919","67.23655737479521","82.07555588248476","53.41343220028592","48.00416135701431","59.680266090183565","45.82963922894031","48.38319313921815","45.551452569242265","13","1"
"61.11590710592856","68.56088250953795","73.09486407332525","76.89206410127831","43.97572290710202","37.35110056218723","79.04166686555189","86.37467858018621","53.03511508614049","84.47279758070931","64.68604113451747","46.620349452958365","79.49978638698718","70.8849834815755","73.54867868187378","14","1"
"52.90684672112101","55.266333158447964","58.163736278752076","52.78165064214418","67.38432555402554","79.14337492541773","65.42568911385024","86.48071843636205","73.84459825264344","78.09236406256029","79.22482810126918","70.51291099335302","80.93378157961759","32.48477263518549","37.2281265430932","15","1"
"47.468209622749164","83.16575484325838","85.88848577255003","78.09840098027284","70.5306216216374","70.21345835031858","39.270328950155566","88.86321170160984","93.19910372692492","80.6232641418265","45.22558012033986","67.91128115296551","78.27880484327552","60.91560597912262","80.88365162971878","16","1"
"73.40648060597641","83.25629749753327","77.18042163100421","51.10905221981486","69.95259398255884","55.261550443881944","35.017875154366024","75.57238623513624","46.76097057355626","57.6347531309877","39.311635068461605","51.64660953632543","69.16234648377136","60.9318175332121","52.646404144389095","17","1"
"40.043438363752685","49.28098911746979","88.1254117906696","54.05123564538123","81.9012550511731","41.18836637095538","52.031549331770385","48.093203046088675","53.55769539249134","77.93031850251093","34.468953459193415","70.53680390585774","58.82526417458187","59.65432461458221","77.50384713387645","18","0"
"70.82415587785957","47.16313907361266","65.34288722127043","43.08270367715684","53.95277478504343","55.82811538746967","37.961967806708735","39.86920203064674","75.20043691127158","89.80362377080968","49.27324687146173","58.800355193746114","52.98716709972019","54.77279931596536","75.27922660403003","19","0"
"52.51799400977464","52.638714484800516","65.03182312428348","63.50369647627302","54.71994101071515","72.96533572542609","76.797229382941","51.097506287304356","82.50289643504091","52.88457690360045","55.358731483268656","85.77197522701223","81.73719753166","52.89189353035424","66.00780601158668","20","1"
"73.72963964310229","53.261211196352036","80.53713296266473","64.6082797592551","65.45010665768767","54.72197185490765","61.13289118955717","82.10701068159707","73.8308778777862","84.07577780625496","52.57850194078342","73.53232648661987","47.09184842918335","42.23950209038668","63.84024000351099","21","1"
"39.9222822078309","82.51429063855073","57.5056991458429","78.3009753754838","91.81279006920218","39.66653388732933","45.366512375049666","67.23243016699162","78.2331526578294","57.966945601346914","64.9014689944468","54.888983657923774","51.19305414087835","73.38340336562393","85.0078132092821","22","0"
"80.01069713532047","55.55836564557016","68.31288995842934","40.36273274488259","62.45516176403869","40.60493887384481","53.136555698342065","75.57780294661828","92.82757544746389","72.24685950726214","73.59504473313595","67.39940231010627","74.71104004453649","67.95028050359099","71.47827859572321","23","1"
"76.06772745798412","77.21519761815304","50.74011131218855","48.67380832933591","42.21977031373892","72.17843036684133","39.35456398218446","76.32211292788712","75.23029660979753","67.46019338696419","68.70631178916663","54.00780120287577","51.41002989203477","32.516798946640506","83.33788639036372","24","1"
"66.41327516626725","37.680988911426674","41.697527545891724","55.70839818838135","52.25480999944894","46.12580394964044","51.86476404409643","41.63716720927112","85.80807662775385","44.156873119498705","43.636445604569566","67.9234825310745","58.69465222164422","75.84310698632518","67.74965441487542","25","1"
"37.74954802654238","53.802411876062116","67.6673276155315","48.41474685790273","72.56853317549967","51.127094601907885","48.550437749438494","46.314449182464756","85.415450954397","51.455247047852666","49.30404443425562","43.29395902303165","63.19790729269831","56.473434648374166","65.88401419587912","26","1"
"44.98771860986351","76.58645063022011","74.31847864886835","57.684247782209034","81.50495954456699","45.734070072963334","38.30646215816091","39.26676480993372","76.12505963956461","61.34562003725298","72.38170450938902","55.476353665936514","53.664360036793774","40.6298093221551","42.46902037321052","27","1"
"64.94727470813287","73.2084765406171","56.655408712761414","87.14701473781774","49.28488040332051","63.39357644005995","62.28201519057822","42.44974840744437","80.03947076233923","56.15796699847213","53.983064948990965","84.27469510482959","69.77151963970654","66.0960259578759","61.78997785234389","28","1"
"56.280301883043784","47.8017289481332","49.7330560860035","89.28029026445323","85.15722760701019","64.66269320592178","67.1617920882733","49.41504125751719","80.58944312655169","44.31985217194272","80.17430832867137","68.19624882799772","78.85506272834361","65.98698562301266","66.10556374809472","29","1"
